Field variables file

Angle of attack:         0                   
Mach:                    0.7                 
Field cells:             675                 

              x              y              z            U_x            U_y            U_z           Mach          Sigma
      -0.477778              3      -0.466667       0.992147    0.000558236     -0.0140314       0.694047     0.00250034
      -0.433333              3      -0.466667       0.992422    0.000542586     -0.0156198       0.694277     0.00459604
      -0.388889              3      -0.466667       0.992908    0.000525479     -0.0173664       0.694671     0.00731301
      -0.344444              3      -0.466667       0.993664    0.000506903     -0.0192605       0.695278      0.0107597
           -0.3              3      -0.466667       0.994759    0.000486849     -0.0212743        0.69615      0.0150197
      -0.255556              3      -0.466667       0.996269    0.000465318     -0.0233566       0.697344      0.0201166
      -0.211111              3      -0.466667       0.998266    0.000442316     -0.0254262       0.698916      0.0259674
      -0.166667              3      -0.466667        1.00081    0.000417858     -0.0273672       0.700909      0.0323297
      -0.122222              3      -0.466667        1.00392    0.000391966     -0.0290299       0.703341      0.0387652
     -0.0777778              3      -0.466667         1.0076    0.000364671     -0.0302395       0.706194      0.0446438
     -0.0333333              3      -0.466667        1.01174    0.000336014     -0.0308153       0.709403      0.0492165
      0.0111111              3      -0.466667        1.01621     0.00030605      -0.030598       0.712848      0.0517579
      0.0555556              3      -0.466667        1.02081    0.000274851     -0.0294792       0.716372      0.0517408
            0.1              3      -0.466667        1.02529    0.000242503     -0.0274237       0.719792      0.0489736
       0.144444              3      -0.466667        1.02941    0.000209117     -0.0244767       0.722928      0.0436419
       0.188889              3      -0.466667        1.03297    0.000174818     -0.0207557       0.725626      0.0362413
       0.233333              3      -0.466667        1.03581    0.000139752     -0.0164285       0.727772      0.0274399
       0.277778              3      -0.466667        1.03784    0.000104076     -0.0116884       0.729299      0.0179324
       0.322222              3      -0.466667        1.03902    6.79576e-05    -0.00673046       0.730183     0.00833129
       0.366667              3      -0.466667        1.03937    3.15677e-05    -0.00173501       0.730436    -0.00088812
       0.411111              3      -0.466667        1.03893    -4.9209e-06     0.00314171       0.730096    -0.00939738
       0.455556              3      -0.466667        1.03777   -4.13376e-05     0.00777095       0.729216     -0.0169956
            0.5              3      -0.466667        1.03598    -7.7517e-05      0.0120507       0.727859     -0.0235777
       0.544444              3      -0.466667        1.03366     -0.0001133      0.0159024       0.726093     -0.0291017
       0.588889              3      -0.466667        1.03089   -0.000148536      0.0192677       0.723988     -0.0335603
       0.633333              3      -0.466667        1.02776   -0.000183084      0.0221045       0.721612     -0.0369593
       0.677778              3      -0.466667        1.02439   -0.000216813      0.0243848       0.719035     -0.0393048
       0.722222              3      -0.466667        1.02084   -0.000249604      0.0260933       0.716328     -0.0405979
       0.766667              3      -0.466667        1.01723   -0.000281351      0.0272275        0.71356     -0.0408385
       0.811111              3      -0.466667        1.01365    -0.00031196      0.0277992       0.710804     -0.0400371
       0.855556              3      -0.466667        1.01018   -0.000341348      0.0278362        0.70813     -0.0382336
            0.9              3      -0.466667        1.00691   -0.000369451      0.0273842       0.705605     -0.0355168
       0.944444              3      -0.466667        1.00393   -0.000396211      0.0265063       0.703288     -0.0320394
       0.988889              3      -0.466667        1.00128   -0.000421586      0.0252813       0.701227     -0.0280167
        1.03333              3      -0.466667       0.999002   -0.000445544      0.0237975       0.699451      -0.023708
        1.07778              3      -0.466667       0.997116   -0.000468062      0.0221458       0.697973     -0.0193808
        1.12222              3      -0.466667       0.995607   -0.000489128      0.0204117       0.696787     -0.0152718
        1.16667              3      -0.466667       0.994449   -0.000508734      0.0186683       0.695872     -0.0115565
        1.21111              3      -0.466667       0.993599   -0.000526883      0.0169725       0.695196    -0.00833726
        1.25556              3      -0.466667       0.993012   -0.000543582      0.0153648       0.694726    -0.00564843
            1.3              3      -0.466667        0.99264   -0.000558847      0.0138699       0.694423     -0.0034724
        1.34444              3      -0.466667       0.992438   -0.000572699      0.0125001       0.694255    -0.00175907
        1.38889              3      -0.466667       0.992369   -0.000585163      0.0112584       0.694191   -0.000442952
        1.43333              3      -0.466667         0.9924   -0.000596273      0.0101413       0.694205    0.000544549
        1.47778              3      -0.466667       0.992505   -0.000606066     0.00914172       0.694278     0.00126765
      -0.477778              3           -0.4       0.989699    0.000568786     -0.0141517       0.692172   -0.000619829
      -0.433333              3           -0.4        0.98967    0.000553083     -0.0160061       0.692172     0.00133669
      -0.388889              3           -0.4       0.989842      0.0005359     -0.0181134       0.692331     0.00409462
      -0.344444              3           -0.4       0.990296    0.000517224      -0.020485       0.692714     0.00788136
           -0.3              3           -0.4       0.991133    0.000497047      -0.023114         0.6934      0.0129355
      -0.255556              3           -0.4       0.992476    0.000475369     -0.0259631       0.694484      0.0194581
      -0.211111              3           -0.4       0.994461    0.000452195     -0.0289493       0.696069      0.0275245
      -0.166667              3           -0.4       0.997221    0.000427536     -0.0319275       0.698258      0.0369568
      -0.122222              3           -0.4        1.00086    0.000401405     -0.0346806       0.701123      0.0471841
     -0.0777778              3           -0.4        1.00541    0.000373821     -0.0369249       0.704682      0.0571635
     -0.0333333              3           -0.4        1.01079    0.000344807     -0.0383398       0.708863      0.0654649
      0.0111111              3           -0.4        1.01678    0.000314396      -0.038624       0.713496       0.070579
      0.0555556              3           -0.4        1.02306    0.000282639     -0.0375639       0.718316      0.0713728
            0.1              3           -0.4        1.02921    0.000249609     -0.0350868       0.723014      0.0674697
       0.144444              3           -0.4        1.03484     0.00021541     -0.0312774       0.727288      0.0593417
       0.188889              3           -0.4        1.03962    0.000180178     -0.0263517       0.730896      0.0480833
       0.233333              3           -0.4        1.04333    0.000144075     -0.0206046        0.73368      0.0350296
       0.277778              3           -0.4        1.04586    0.000107283     -0.0143533       0.735569      0.0214183
       0.322222              3           -0.4         1.0472    6.99983e-05    -0.00789546       0.736562     0.00820102
       0.366667              3           -0.4        1.04742    3.24206e-05    -0.00148467       0.736711    -0.00400084
       0.411111              3           -0.4        1.04662   -5.25036e-06     0.00467728       0.736094     -0.0148509
       0.455556              3           -0.4        1.04493   -4.28223e-05      0.0104379       0.734804     -0.0242195
            0.5              3           -0.4        1.04246     -8.011e-05      0.0156862       0.732938     -0.0321049
       0.544444              3           -0.4        1.03936   -0.000116939      0.0203436       0.730587     -0.0385702
       0.588889              3           -0.4        1.03574   -0.000153147      0.0243552       0.727842     -0.0436961
       0.633333              3           -0.4        1.03172   -0.000188584      0.0276826       0.724786     -0.0475491
       0.677778              3           -0.4        1.02741   -0.000223114      0.0302996       0.721501     -0.0501631
