Field variables file

Angle of attack:         0                   
Mach:                    0.8                 
Field cells:             675                 

              x              y              z            U_x            U_y            U_z           Mach          Sigma
      -0.477778              3      -0.466667        0.98351    0.000850432      -0.019128       0.785334       -0.01979
      -0.433333              3      -0.466667        0.98205     0.00083991     -0.0216254       0.784071     -0.0177597
      -0.388889              3      -0.466667       0.980731    0.000828288     -0.0248294       0.782958     -0.0143042
      -0.344444              3      -0.466667        0.97969    0.000815824      -0.028805       0.782123    -0.00815129
           -0.3              3      -0.466667       0.979144    0.000802902     -0.0336182       0.781771      0.0018793
      -0.255556              3      -0.466667       0.979402    0.000790068     -0.0393091       0.782191      0.0172627
      -0.211111              3      -0.466667       0.980884    0.000778053     -0.0458501       0.783772      0.0396899
      -0.166667              3      -0.466667       0.984125    0.000767759     -0.0530867       0.787002      0.0707627
      -0.122222              3      -0.466667       0.989748    0.000760191     -0.0606655       0.792437         0.1114
     -0.0777778              3      -0.466667       0.998377     0.00075628     -0.0679613       0.800621       0.160929
     -0.0333333              3      -0.466667        1.01048    0.000756583     -0.0740319        0.81193       0.215878
      0.0111111              3      -0.466667        1.02611    0.000760802     -0.0776435       0.826356       0.268368
      0.0555556              3      -0.466667        1.04458    0.000767161     -0.0774275       0.843218        0.30432
            0.1              3      -0.466667        1.06414    0.000771972     -0.0722521       0.860891       0.304226
       0.144444              3      -0.466667        1.08202    0.000770248     -0.0618153       0.876876       0.253013
       0.188889              3      -0.466667        1.09529    0.000757896     -0.0471333       0.888599       0.158035
       0.233333              3      -0.466667        1.10234    0.000733943     -0.0303218       0.894667      0.0520077
       0.277778              3      -0.466667        1.10351    0.000700456     -0.0136123       0.895448     -0.0326088
       0.322222              3      -0.466667        1.10035    0.000660593     0.00152926       0.892401     -0.0855226
       0.366667              3      -0.466667        1.09455    0.000617031      0.0145397       0.887048       -0.11342
       0.411111              3      -0.466667        1.08732    0.000571536      0.0254226       0.880459      -0.126464
       0.455556              3      -0.466667        1.07934     0.00052515      0.0344044       0.873247      -0.132002
            0.5              3      -0.466667        1.07098    0.000478469      0.0417413       0.865718      -0.134162
       0.544444              3      -0.466667        1.06242    0.000431853      0.0476434       0.858014      -0.134911
       0.588889              3      -0.466667        1.05374    0.000385553      0.0522566       0.850203      -0.134969
       0.633333              3      -0.466667          1.045    0.000339794      0.0556699       0.842328      -0.134391
       0.677778              3      -0.466667        1.03627     0.00029481      0.0579302        0.83444      -0.132893
       0.722222              3      -0.466667        1.02763    0.000250868      0.0590598       0.826613      -0.130035
       0.766667              3      -0.466667         1.0192    0.000208271      0.0590723       0.818949      -0.125306
       0.811111              3      -0.466667        1.01115    0.000167368      0.0579894       0.811586      -0.118176
       0.855556              3      -0.466667        1.00365    0.000128541      0.0558595       0.804696      -0.108181
            0.9              3      -0.466667       0.996916    9.21832e-05      0.0527774       0.798477     -0.0951027
       0.944444              3      -0.466667       0.991169    5.86439e-05      0.0489002       0.793129     -0.0792169
       0.988889              3      -0.466667       0.986575    2.81617e-05      0.0444512       0.788815     -0.0614701
        1.03333              3      -0.466667       0.983213    8.04072e-07      0.0397006       0.785618     -0.0433811
        1.07778              3      -0.466667       0.981049    -2.3546e-05       0.034926       0.783517     -0.0266127
        1.12222              3      -0.466667       0.979942   -4.51486e-05      0.0303672        0.78239     -0.0124418
        1.16667              3      -0.466667       0.979685   -6.43334e-05      0.0261951       0.782052    -0.00145637
        1.21111              3      -0.466667       0.980055   -8.14307e-05      0.0225036       0.782302     0.00640473
        1.25556              3      -0.466667       0.980851   -9.67287e-05      0.0193226       0.782953      0.0116048
            1.3              3      -0.466667       0.981908   -0.000110458      0.0166379       0.783856      0.0147496
        1.34444              3      -0.466667       0.983107   -0.000122794      0.0144121         0.7849      0.0164176
        1.38889              3      -0.466667       0.984366   -0.000133866      0.0126002       0.786006      0.0170896
        1.43333              3      -0.466667       0.985633   -0.000143767      0.0111619       0.787127      0.0171721
        1.47778              3      -0.466667       0.986896   -0.000152501      0.0100704       0.788251      0.0175386
      -0.477778              3           -0.4       0.980278    0.000877907     -0.0179466       0.782417     -0.0330969
      -0.433333              3           -0.4       0.977787     0.00086534     -0.0204301        0.78023     -0.0325828
