Surface pressure file

Angle of attack:         0                   
Mach:                    0.8                 
Panels:                  1000                
Full reference surface:  10                  
Lift coefficient:        -5.13489e-06        
Drag coefficient:        0.00418851          
Lift to drag ratio:      -0.00122595         

*** Stat0 - y = 0.25 ***
              x              z             cp
       0.999507       7.15e-05       0.486477
       0.997535      0.0003575       0.452675
         0.9936       0.000926       0.392758
       0.987718        0.00177       0.343649
        0.97991      0.0028805       0.301668
       0.970208      0.0042455       0.264114
       0.958651        0.00585       0.228438
       0.945283      0.0076765       0.193218
       0.930158      0.0097065       0.158241
       0.913336      0.0119205       0.122935
       0.894883       0.014297       0.089085
       0.874871      0.0168145      0.0579285
       0.853379      0.0194505      0.0289353
       0.830493       0.022182     0.00110545
       0.806303       0.024987     -0.0216897
       0.780903       0.027842      -0.046207
       0.754395      0.0307235      -0.071835
       0.726884       0.033608     -0.0989693
       0.698476       0.036472      -0.127295
       0.669285       0.039291      -0.155715
       0.639427        0.04204      -0.182049
       0.609018       0.044693      -0.206693
       0.578179      0.0472235      -0.229784
       0.547031      0.0496045      -0.254958
       0.515697       0.051808      -0.282306
       0.484302      0.0538055      -0.312673
       0.452969      0.0555695      -0.348443
       0.421821      0.0570725      -0.391822
       0.390982       0.058287      -0.445842
       0.360573       0.059188         -0.516
       0.330715       0.059752      -0.600184
       0.301524       0.059959      -0.683841
       0.273116      0.0597925      -0.746364
       0.245605      0.0592385      -0.773085
       0.219097      0.0582875      -0.766947
       0.193698      0.0569355        -0.7368
       0.169507      0.0551825      -0.691763
       0.146621       0.053034       -0.64228
        0.12513         0.0505      -0.593153
       0.105117      0.0475935      -0.546526
       0.086664       0.044332      -0.508796
      0.0698415       0.040737      -0.416657
      0.0547165       0.036831      -0.324127
       0.041349       0.032638      -0.213737
       0.029792       0.028183       -0.10244
        0.02009      0.0234905      0.0207113
       0.012282       0.018583       0.185516
      0.0063995       0.013481       0.437163
       0.002465      0.0082025       0.793631
      0.0004935      0.0027605        1.11801
      0.0004935     -0.0027605        1.11799
       0.002465     -0.0082025       0.793593
      0.0063995      -0.013481       0.437118
       0.012282      -0.018583       0.185472
        0.02009     -0.0234905      0.0206693
       0.029792      -0.028183      -0.102481
       0.041349      -0.032638      -0.213781
      0.0547165      -0.036831      -0.324177
      0.0698415      -0.040737       -0.41672
       0.086664      -0.044332       -0.50888
       0.105118     -0.0475935      -0.546641
        0.12513        -0.0505      -0.593317
       0.146621      -0.053034      -0.642512
       0.169507     -0.0551825      -0.692068
       0.193698     -0.0569355      -0.737147
       0.219097     -0.0582875      -0.767253
       0.245605     -0.0592385      -0.773242
       0.273116     -0.0597925      -0.746307
       0.301524      -0.059959      -0.683607
       0.330715      -0.059752      -0.599895
       0.360573      -0.059188      -0.515758
       0.390982      -0.058287      -0.445683
       0.421821     -0.0570725      -0.391732
       0.452969     -0.0555695      -0.348395
       0.484302     -0.0538055      -0.312648
       0.515697      -0.051808       -0.28229
       0.547031     -0.0496045      -0.254947
       0.578179     -0.0472235      -0.229775
       0.609018      -0.044693      -0.206685
       0.639427       -0.04204      -0.182042
       0.669285      -0.039291      -0.155709
       0.698476      -0.036472       -0.12729
       0.726884      -0.033608     -0.0989648
       0.754395     -0.0307235     -0.0718311
       0.780903      -0.027842     -0.0462036
       0.806302      -0.024987     -0.0216868
       0.830493      -0.022182     0.00110807
       0.853379     -0.0194505      0.0289375
        0.87487     -0.0168145      0.0579305
       0.894883      -0.014297      0.0890866
       0.913336     -0.0119205       0.122936
       0.930158     -0.0097065       0.158242
       0.945283     -0.0076765       0.193219
       0.958651       -0.00585       0.228439
       0.970208     -0.0042455       0.264115
        0.97991     -0.0028805       0.301669
       0.987718       -0.00177        0.34365
       0.993601      -0.000926       0.392758
       0.997535     -0.0003575       0.452675
       0.999507      -7.15e-05       0.486477

*** Stat1 - y = 0.75 ***
              x              z             cp
       0.999507       7.15e-05       0.486527
       0.997535      0.0003575       0.452728
         0.9936       0.000926       0.392815
       0.987718        0.00177        0.34371
        0.97991      0.0028805       0.301732
       0.970208      0.0042455        0.26418
       0.958651        0.00585       0.228507
       0.945283      0.0076765        0.19329
       0.930158      0.0097065       0.158314
       0.913336      0.0119205       0.123011
       0.894883       0.014297      0.0891632
       0.874871      0.0168145       0.058009
       0.853379      0.0194505      0.0290179
       0.830493       0.022182     0.00119012
       0.806303       0.024987      -0.021603
       0.780903       0.027842     -0.0461183
       0.754395      0.0307235     -0.0717443
       0.726884       0.033608     -0.0988767
       0.698476       0.036472      -0.127201
       0.669285       0.039291      -0.155619
       0.639427        0.04204      -0.181951
       0.609018       0.044693      -0.206593
       0.578179      0.0472235      -0.229683
       0.547031      0.0496045      -0.254856
       0.515697       0.051808      -0.282202
       0.484302      0.0538055      -0.312568
       0.452969      0.0555695      -0.348337
       0.421821      0.0570725      -0.391715
       0.390982       0.058287      -0.445734
       0.360573       0.059188      -0.515892
       0.330715       0.059752      -0.600076
       0.301524       0.059959      -0.683733
       0.273116      0.0597925      -0.746257
       0.245605      0.0592385      -0.772978
       0.219097      0.0582875       -0.76684
       0.193698      0.0569355      -0.736692
       0.169507      0.0551825      -0.691656
       0.146621       0.053034      -0.642173
        0.12513         0.0505      -0.593046
       0.105117      0.0475935       -0.54642
       0.086664       0.044332       -0.50869
      0.0698415       0.040737      -0.416553
      0.0547165       0.036831      -0.324024
       0.041349       0.032638      -0.213637
       0.029792       0.028183      -0.102344
        0.02009      0.0234905      0.0208014
       0.012282       0.018583       0.185596
      0.0063995       0.013481       0.437225
       0.002465      0.0082025       0.793665
      0.0004935      0.0027605        1.11801
      0.0004935     -0.0027605          1.118
       0.002465     -0.0082025       0.793627
      0.0063995      -0.013481       0.437181
       0.012282      -0.018583       0.185552
        0.02009     -0.0234905      0.0207596
       0.029792      -0.028183      -0.102385
       0.041349      -0.032638      -0.213681
      0.0547165      -0.036831      -0.324074
      0.0698415      -0.040737      -0.416615
       0.086664      -0.044332      -0.508774
       0.105118     -0.0475935      -0.546534
        0.12513        -0.0505       -0.59321
       0.146621      -0.053034      -0.642405
       0.169507     -0.0551825       -0.69196
       0.193698     -0.0569355       -0.73704
       0.219097     -0.0582875      -0.767146
       0.245605     -0.0592385      -0.773134
       0.273116     -0.0597925        -0.7462
       0.301524      -0.059959      -0.683499
       0.330715      -0.059752      -0.599787
       0.360573      -0.059188       -0.51565
       0.390982      -0.058287      -0.445575
       0.421821     -0.0570725      -0.391625
       0.452969     -0.0555695      -0.348289
       0.484302     -0.0538055      -0.312543
       0.515697      -0.051808      -0.282187
       0.547031     -0.0496045      -0.254845
       0.578179     -0.0472235      -0.229674
       0.609018      -0.044693      -0.206585
       0.639427       -0.04204      -0.181944
       0.669285      -0.039291      -0.155613
       0.698476      -0.036472      -0.127195
       0.726884      -0.033608     -0.0988721
       0.754395     -0.0307235     -0.0717404
       0.780903      -0.027842     -0.0461149
       0.806302      -0.024987     -0.0216001
       0.830493      -0.022182     0.00119277
       0.853379     -0.0194505      0.0290201
        0.87487     -0.0168145      0.0580109
       0.894883      -0.014297      0.0891648
       0.913336     -0.0119205       0.123012
       0.930158     -0.0097065       0.158316
       0.945283     -0.0076765       0.193291
       0.958651       -0.00585       0.228508
       0.970208     -0.0042455       0.264181
        0.97991     -0.0028805       0.301732
       0.987718       -0.00177       0.343711
       0.993601      -0.000926       0.392816
       0.997535     -0.0003575       0.452728
       0.999507      -7.15e-05       0.486527

*** Stat2 - y = 1.25 ***
              x              z             cp
       0.999507       7.15e-05        0.48664
       0.997535      0.0003575       0.452847
         0.9936       0.000926       0.392945
       0.987718        0.00177       0.343848
        0.97991      0.0028805       0.301876
       0.970208      0.0042455       0.264331
       0.958651        0.00585       0.228664
       0.945283      0.0076765       0.193452
       0.930158      0.0097065       0.158483
       0.913336      0.0119205       0.123185
       0.894883       0.014297       0.089343
       0.874871      0.0168145      0.0581945
       0.853379      0.0194505       0.029209
       0.830493       0.022182     0.00138683
       0.806303       0.024987      -0.021401
       0.780903       0.027842     -0.0459108
       0.754395      0.0307235     -0.0715315
       0.726884       0.033608     -0.0986586
       0.698476       0.036472      -0.126977
       0.669285       0.039291      -0.155391
       0.639427        0.04204      -0.181718
       0.609018       0.044693      -0.206356
       0.578179      0.0472235      -0.229441
       0.547031      0.0496045       -0.25461
       0.515697       0.051808      -0.281953
       0.484302      0.0538055      -0.312316
       0.452969      0.0555695      -0.348081
       0.421821      0.0570725      -0.391457
       0.390982       0.058287      -0.445475
       0.360573       0.059188      -0.515631
       0.330715       0.059752      -0.599815
       0.301524       0.059959      -0.683473
       0.273116      0.0597925      -0.745999
       0.245605      0.0592385      -0.772721
       0.219097      0.0582875      -0.766584
       0.193698      0.0569355      -0.736436
       0.169507      0.0551825      -0.691399
       0.146621       0.053034      -0.641917
        0.12513         0.0505      -0.592791
       0.105117      0.0475935      -0.546166
       0.086664       0.044332      -0.508438
      0.0698415       0.040737      -0.416304
      0.0547165       0.036831       -0.32378
       0.041349       0.032638        -0.2134
       0.029792       0.028183      -0.102117
        0.02009      0.0234905      0.0210134
       0.012282       0.018583       0.185784
      0.0063995       0.013481       0.437371
       0.002465      0.0082025       0.793744
      0.0004935      0.0027605        1.11802
      0.0004935     -0.0027605        1.11801
       0.002465     -0.0082025       0.793707
      0.0063995      -0.013481       0.437328
       0.012282      -0.018583       0.185741
        0.02009     -0.0234905      0.0209725
       0.029792      -0.028183      -0.102157
       0.041349      -0.032638      -0.213443
      0.0547165      -0.036831       -0.32383
      0.0698415      -0.040737      -0.416366
       0.086664      -0.044332      -0.508523
       0.105118     -0.0475935       -0.54628
        0.12513        -0.0505      -0.592954
       0.146621      -0.053034      -0.642148
       0.169507     -0.0551825      -0.691703
       0.193698     -0.0569355      -0.736783
       0.219097     -0.0582875      -0.766889
       0.245605     -0.0592385      -0.772877
       0.273116     -0.0597925      -0.745942
       0.301524      -0.059959       -0.68324
       0.330715      -0.059752      -0.599526
       0.360573      -0.059188      -0.515389
       0.390982      -0.058287      -0.445316
       0.421821     -0.0570725      -0.391367
       0.452969     -0.0555695      -0.348033
       0.484302     -0.0538055       -0.31229
       0.515697      -0.051808      -0.281937
       0.547031     -0.0496045      -0.254599
       0.578179     -0.0472235      -0.229432
       0.609018      -0.044693      -0.206347
       0.639427       -0.04204       -0.18171
       0.669285      -0.039291      -0.155384
       0.698476      -0.036472      -0.126972
       0.726884      -0.033608     -0.0986539
       0.754395     -0.0307235     -0.0715275
       0.780903      -0.027842     -0.0459074
       0.806302      -0.024987     -0.0213979
       0.830493      -0.022182     0.00138953
       0.853379     -0.0194505      0.0292113
        0.87487     -0.0168145      0.0581965
       0.894883      -0.014297      0.0893447
       0.913336     -0.0119205       0.123186
       0.930158     -0.0097065       0.158484
       0.945283     -0.0076765       0.193453
       0.958651       -0.00585       0.228665
       0.970208     -0.0042455       0.264332
        0.97991     -0.0028805       0.301877
       0.987718       -0.00177       0.343848
       0.993601      -0.000926       0.392945
       0.997535     -0.0003575       0.452847
       0.999507      -7.15e-05        0.48664

*** Stat3 - y = 1.75 ***
              x              z             cp
       0.999507       7.15e-05       0.486845
       0.997535      0.0003575       0.453062
         0.9936       0.000926       0.393179
       0.987718        0.00177       0.344097
        0.97991      0.0028805       0.302139
       0.970208      0.0042455       0.264606
       0.958651        0.00585       0.228952
       0.945283      0.0076765       0.193753
       0.930158      0.0097065       0.158796
       0.913336      0.0119205       0.123512
       0.894883       0.014297      0.0896833
       0.874871      0.0168145      0.0585485
       0.853379      0.0194505      0.0295769
       0.830493       0.022182     0.00176883
       0.806303       0.024987      -0.021005
       0.780903       0.027842     -0.0455006
       0.754395      0.0307235     -0.0711068
       0.726884       0.033608     -0.0982195
       0.698476       0.036472      -0.126524
       0.669285       0.039291      -0.154923
       0.639427        0.04204      -0.181237
       0.609018       0.044693      -0.205862
       0.578179      0.0472235      -0.228936
       0.547031      0.0496045      -0.254094
       0.515697       0.051808      -0.281427
       0.484302      0.0538055      -0.311781
       0.452969      0.0555695      -0.347539
       0.421821      0.0570725      -0.390908
       0.390982       0.058287      -0.444921
       0.360573       0.059188      -0.515075
       0.330715       0.059752      -0.599259
       0.301524       0.059959       -0.68292
       0.273116      0.0597925       -0.74545
       0.245605      0.0592385      -0.772176
       0.219097      0.0582875      -0.766041
       0.193698      0.0569355      -0.735894
       0.169507      0.0551825      -0.690859
       0.146621       0.053034       -0.64138
        0.12513         0.0505      -0.592259
       0.105117      0.0475935       -0.54564
       0.086664       0.044332       -0.50792
      0.0698415       0.040737      -0.415794
      0.0547165       0.036831      -0.323281
       0.041349       0.032638      -0.212917
       0.029792       0.028183      -0.101656
        0.02009      0.0234905      0.0214431
       0.012282       0.018583       0.186164
      0.0063995       0.013481       0.437666
       0.002465      0.0082025       0.793903
      0.0004935      0.0027605        1.11805
      0.0004935     -0.0027605        1.11803
       0.002465     -0.0082025       0.793868
      0.0063995      -0.013481       0.437624
       0.012282      -0.018583       0.186122
        0.02009     -0.0234905      0.0214037
       0.029792      -0.028183      -0.101695
       0.041349      -0.032638      -0.212959
      0.0547165      -0.036831       -0.32333
      0.0698415      -0.040737      -0.415855
